protein,X2018_MARCH_5_UWPRQE_HATCHMICRO_01_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_03_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_04_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_05_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_06_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_07_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_08_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_09_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_10_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_11_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_12_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_13_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_14_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_15_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_16_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_17_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_18_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_19_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_20_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_21_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_22_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_23_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_24_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_25_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_26_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_27_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_28_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_29_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_30_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_31_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_32_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_33_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_34_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_35_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_36_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_37_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_38_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_39_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_40_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_41_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_42_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_43_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_44_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_45_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_46_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_47_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_48_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_49_NUMSPECSTOT,protein length,uniprot annotation,blastp e-value
gene_1000599|GeneMark.hmm|201_aa|-|2|604,0,7,5,8,5,0,8,3,10,7,2,7,3,7,8,5,0,9,5,6,5,1,6,8,8,7,5,0,6,0,7,8,8,0,5,6,4,5,2,5,6,0,6,2,7,9,6,4,201,Q5SK82.1,3.26E-16
gene_1003007|GeneMark.hmm|64_aa|-|13820|14014,0,4,0,1,2,0,2,1,1,1,2,1,1,2,3,1,2,3,1,1,2,0,2,2,3,2,1,0,1,0,3,1,1,0,1,1,0,2,1,2,3,0,2,0,1,4,1,0,64,Q83RI9.3,9.68E-18
gene_1003692|GeneMark.hmm|257_aa|-|2890|3663,0,4,1,1,0,2,1,1,1,1,0,0,2,1,0,1,1,1,1,1,0,1,1,1,2,2,1,0,1,1,1,1,1,2,1,2,1,1,0,1,1,0,1,1,2,2,1,2,257,NA,NA
gene_1007784|GeneMark.hmm|700_aa|-|2|2101,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,NA,NA
gene_1008876|GeneMark.hmm|424_aa|+|4112|5386,0,1,0,1,0,0,2,1,1,1,1,1,0,1,2,0,2,2,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,1,0,1,1,2,1,424,Q2YKZ9.1,3.71E-11
gene_1008951|GeneMark.hmm|93_aa|+|2|283,0,3,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93,P05384.3,9.25E-37
gene_1011887|GeneMark.hmm|79_aa|-|16665|16904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,2,1,1,1,1,0,1,0,2,0,1,0,1,1,1,2,1,1,3,0,1,0,1,2,1,1,79,P94123.3,5.00E-33
gene_1016445|GeneMark.hmm|156_aa|-|3|470,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,2,1,0,0,0,0,0,4,3,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,156,Q2YKR5.1,6.60E-47
gene_101716|GeneMark.hmm|358_aa|+|957|2033,0,1,0,1,2,0,2,0,3,0,0,1,0,1,2,1,0,2,2,0,2,0,1,0,2,0,0,0,1,0,1,4,1,0,1,1,1,3,1,2,1,0,2,0,2,3,2,0,358,Q315G1.1,1.94E-09
gene_1019316|GeneMark.hmm|59_aa|-|3|179,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,2,1,1,59,P86221.1,1.57E-37
gene_1019772|GeneMark.hmm|70_aa|+|5402|5614,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,E0J1Q3.1,9.04E-24
gene_1020025|GeneMark.hmm|484_aa|+|3|1457,0,1,1,3,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,2,0,1,4,2,0,1,2,1,0,0,0,1,0,2,1,1,2,1,1,484,P51819.1,0
gene_1020026|GeneMark.hmm|334_aa|+|1360|2364,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,334,P36181.1,4.64E-147
